Year,State_Abbrev,Population
2000,SC,4024223
2000,SD,755844
2000,TN,5703719
2000,TX,20944499
2000,UT,2244502
2000,VA,7105817
2000,VT,609618
2000,WA,5910512
2000,WI,5373999
2000,WV,1807021
2000,WY,494300
2001,AK,633714
2001,AL,4467634
2001,AR,2691571
2001,AZ,5273477
2001,CA,34479458
2001,CO,4425687
2001,CT,3432835
2001,DC,574504
2001,DE,795699
2001,FL,16356966
2001,GA,8377038
2001,HI,1225948
2001,IA,2931997
2001,ID,1319962
2001,IL,12488445
2001,IN,6127760
2001,KS,2702162
2001,KY,4068132
2001,LA,4477875
2001,MA,6397634
2001,MD,5374691
2001,ME,1285692
2001,MI,9991120
2001,MN,4982796
2001,MO,5641142
2001,MS,2852994
2001,MT,906961
2001,NC,8210122
2001,ND,639062
2001,NE,1719836
2001,NH,1255517
2001,NJ,8492671
2001,NM,1831690
2001,NV,2098399
2001,NY,19082838
2001,OH,11387404
2001,OK,3467100
2001,OR,3467937
2001,PA,12298970
2001,RI,1057142
2001,SC,4064995
2001,SD,757972
2001,TN,5750789
2001,TX,21319622
2001,UT,2283715
2001,VA,7198362
2001,VT,612223
2001,WA,5985722
2001,WI,5406835
2001,WV,1801481
2001,WY,494657
2002,AK,642337
2002,AL,4480089
2002,AR,2705927
2002,AZ,5396255
2002,CA,34871843
2002,CO,4490406
2002,CT,3458749
2002,DC,573158
2002,DE,806169
2002,FL,16689370
2002,GA,8508256
2002,HI,1239613
2002,IA,2934234
2002,ID,1340372
2002,IL,12525556
2002,IN,6155967
2002,KS,2713535
2002,KY,4089875
2002,LA,4497267
2002,MA,6417206
2002,MD,5440389
2002,ME,1295960
2002,MI,10015710
2002,MN,5018935
2002,MO,5674825
2002,MS,2858681
2002,MT,911667
2002,NC,8326201
2002,ND,638168
2002,NE,1728292
2002,NH,1269089
2002,NJ,8552643
2002,NM,1855309
2002,NV,2173791
2002,NY,19137800
2002,OH,11407889
2002,OK,3489080
2002,OR,3513424
2002,PA,12331031
2002,RI,1065995
2002,SC,4107795
2002,SD,760020
2002,TN,5795918
2002,TX,21690325
2002,UT,2324815
2002,VA,7286873
2002,VT,615442
2002,WA,6052349
2002,WI,5445162
2002,WV,1805414
2002,WY,500017
2003,AK,648414
2003,AL,4503491
2003,AR,2724816
2003,AZ,5510364
2003,CA,35253159
2003,CO,4528732
2003,CT,3484336
2003,DC,568502
2003,DE,818003
2003,FL,17004085
2003,GA,8622793
2003,HI,1251154
2003,IA,2941999
2003,ID,1363380
2003,IL,12556006
2003,IN,6196638
2003,KS,2723004
2003,KY,4117170
2003,LA,4521042
2003,MA,6422565
2003,MD,5496269
2003,ME,1306513
2003,MI,10041152
2003,MN,5053572
2003,MO,5709403
2003,MS,2868312
2003,MT,919630
2003,NC,8422501
2003,ND,638817
2003,NE,1738643
2003,NH,1279840
2003,NJ,8601402
2003,NM,1877574
2003,NV,2248850
2003,NY,19175939
2003,OH,11434788
2003,OK,3504892
2003,OR,3547376
2003,PA,12374658
2003,RI,1071342
2003,SC,4150297
2003,SD,763729
2003,TN,5847812
2003,TX,22030931
2003,UT,2360137
2003,VA,7366977
2003,VT,617858
2003,WA,6104115
2003,WI,5479203
2003,WV,1812295
2003,WY,503453
2004,AK,659286
2004,AL,4530729
2004,AR,2749686
2004,AZ,5652404
2004,CA,35574576
2004,CO,4575013
2004,CT,3496094
2004,DC,567754
2004,DE,830803
2004,FL,17415318
2004,GA,8769252
2004,HI,1273569
2004,IA,2953635
2004,ID,1391802
2004,IL,12589773
2004,IN,6233007
2004,KS,2734373
2004,KY,4146101
2004,LA,4552238
2004,MA,6412281
2004,MD,5546935
2004,ME,1313688
2004,MI,10055315
2004,MN,5087713
2004,MO,5747741
2004,MS,2889010
2004,MT,930009
2004,NC,8553152
2004,ND,644705
2004,NE,1749370
2004,NH,1290121
2004,NJ,8634561
2004,NM,1903808
2004,NV,2346222
2004,NY,19171567
2004,OH,11452251
2004,OK,3525233
2004,OR,3569463
2004,PA,12410722
2004,RI,1074579
2004,SC,4210921
2004,SD,770396
2004,TN,5910809
2004,TX,22394023
2004,UT,2401580
2004,VA,7475575
2004,VT,619920
2004,WA,6178645
2004,WI,5514026
2004,WV,1816438
2004,WY,509106
2005,AK,666946
2005,AL,4565917
2005,AR,2781097
2005,AZ,5839077
2005,CA,35827943
2005,CO,4631888
2005,CT,3506956
2005,DC,567136
2005,DE,845150
2005,FL,17842038
2005,GA,8925922
2005,HI,1292729
2005,IA,2964454
2005,ID,1428241
2005,IL,12609903
2005,IN,6278616
2005,KR,203937
2005,KS,2745299
2005,KY,4182742
2005,LA,4411396
2005,MA,6403290
2005,MD,5592379
2005,ME,1318787
2005,MI,10051137
2005,MN,5119598
2005,MO,5790300
2005,MS,2876229
2005,MT,940102
2005,NC,8705407
2005,ND,646089
2005,NE,1761497
2005,NH,1298492
2005,NJ,8651974
2005,NM,1932274
2005,NV,2432143
2005,NY,19132610
2005,OH,11463320
2005,OK,3548597
2005,OR,3613202
2005,PA,12449990
2005,RI,1067916
2005,SC,4270150
2005,SD,775493
2005,TN,5991057
2005,TX,22773020
2005,UT,2457719
2005,VA,7577105
2005,VT,621215
2005,WA,6257305
2005,WI,5546166
2005,WV,1820492
2005,WY,514157
2006,AK,675302
2006,AL,4628981
2006,AR,2821761
2006,AZ,6029141
2006,CA,36021202
2006,CO,4720423
2006,CT,3517460
2006,DC,570681
2006,DE,859268
2006,FL,18166990
2006,GA,9155813
2006,HI,1309731
2006,IA,2982644
2006,ID,1468669
2006,IL,12643955
2006,IN,6332669
2006,KS,2762931
2006,KY,4219239
2006,LA,4302665
2006,MA,6410084
2006,MD,5627367
2006,ME,1323619
2006,MI,10036081
2006,MN,5163555
2006,MO,5842704
2006,MS,2904978
2006,MT,952692
2006,NC,8917270
2006,ND,649422
2006,NE,1772693
2006,NH,1308389
2006,NJ,8661679
2006,NM,1962137
2006,NV,2522658
2006,NY,19104631
2006,OH,11481213
2006,OK,3594090
2006,OR,3670883
2006,PA,12510809
2006,RI,1063096
2006,SC,4357847
2006,SD,783033
2006,TN,6088766
2006,TX,23359580
2006,UT,2525507
2006,VA,7673725
2006,VT,622892
2006,WA,6370753
2006,WI,5577655
2006,WV,1827912
2006,WY,522667
2007,AK,680300
2007,AL,4672840
2007,AR,2848650
2007,AZ,6167681
2007,CA,36250311
2007,CO,4803868
2007,CT,3527270
2007,DC,574404
2007,DE,871749
2007,FL,18367842
2007,GA,9349988
2007,HI,1315675
2007,IA,2999212
2007,ID,1505105
2007,IL,12695866
2007,IN,6379599
2007,KS,2783785
2007,KY,4256672
2007,LA,4375581
2007,MA,6431559
2007,MD,5653408
2007,ME,1327040
2007,MI,10001284
2007,MN,5207203
2007,MO,5887612
2007,MS,2928350
2007,MT,964706
2007,NC,9118037
2007,ND,652822
2007,NE,1783440
2007,NH,1312540
2007,NJ,8677885
2007,NM,1990070
2007,NV,2601072
2007,NY,19132335
2007,OH,11500468
2007,OK,3634349
2007,OR,3722417
2007,PA,12563937
2007,RI,1057315
2007,SC,4444110
2007,SD,791623
2007,TN,6175727
2007,TX,23831983
2007,UT,2597746
2007,VA,7751000
2007,VT,623481
2007,WA,6461587
2007,WI,5610775
2007,WV,1834052
2007,WY,534876
2008,AK,687455
2008,AL,4718206
2008,AR,2874554
2008,AZ,6280362
2008,CA,36604337
2008,CO,4889730
2008,CT,3545579
2008,DC,580236
2008,DE,883874
2008,FL,18527305
2008,GA,9504843
2008,HI,1332213
2008,IA,3016734
2008,ID,1534320
2008,IL,12747038
2008,IN,6424806
2008,KS,2808076
2008,KY,4289878
2008,LA,4435586
2008,MA,6468967
2008,MD,5684965
2008,ME,1330509
2008,MI,9946889
2008,MN,5247018
2008,MO,5923916
2008,MS,2947806
2008,MT,976415
2008,NC,9309449
2008,ND,657569
2008,NE,1796378
2008,NH,1315906
2008,NJ,8711090
2008,NM,2010662
2008,NV,2653630
2008,NY,19212436
2008,OH,11515391
2008,OK,3668976
2008,OR,3768748
2008,PA,12612285
2008,RI,1055003
2008,SC,4528996
2008,SD,799124
2008,TN,6247411
2008,TX,24309039
2008,UT,2663029
2008,VA,7833496
2008,VT,624151
2008,WA,6562231
2008,WI,5640996
2008,WV,1840310
2008,WY,546043
2009,AK,698895
2009,AL,4757938
2009,AR,2896843
2009,AZ,6343154
2009,CA,36961229
2009,CO,4972195
2009,CT,3561807
2009,DC,592228
2009,DE,891730
2009,FL,18652644
2009,GA,9620846
2009,HI,1346717
2009,IA,3032870
2009,ID,1554439
2009,IL,12796778
2009,IN,6459325
2009,KS,2832704
2009,KY,4317074
2009,LA,4491648
2009,MA,6517613
2009,MD,5730388
2009,ME,1329590
2009,MI,9901591
2009,MN,5281203
2009,MO,5961088
2009,MS,2958774
2009,MT,983982
2009,NC,9449566
2009,ND,664968
2009,NE,1812683
2009,NH,1316102
2009,NJ,8755602
2009,NM,2036802
2009,NV,2684665
2009,NY,19307066
2009,OH,11528896
2009,OK,3717572
2009,OR,3808600
2009,PA,12666858
2009,RI,1053646
2009,SC,4589872
2009,SD,807067
2009,TN,6306019
2009,TX,24801761
2009,UT,2723421
2009,VA,7925937
2009,VT,624817
2009,WA,6667426
2009,WI,5669264
2009,WV,1847775
2009,WY,559851
2010,AK,714031
2010,AL,4785492
2010,AR,2921995
2010,AZ,6408312
2010,CA,37332685
2010,CO,5048644
2010,CT,3579899
2010,DC,605183
2010,DE,899816
2010,FL,18849098
2010,GA,9713521
2010,HI,1363945
2010,IA,3050738
2010,ID,1571010
2010,IL,12841578
2010,IN,6490528
2010,KS,2858850
2010,KY,4348662
2010,LA,4544996
2010,MA,6565524
2010,MD,5788584
2010,ME,1327730
2010,MI,9877495
2010,MN,5311147
2010,MO,5996118
2010,MS,2970322
2010,MT,990641
2010,NC,9558915
2010,ND,674526
2010,NE,1830051
2010,NH,1316872
2010,NJ,8803729
2010,NM,2064756
2010,NV,2703284
2010,NY,19402640
2010,OH,11540983
2010,OK,3759603
2010,OR,3838048
2010,PA,12712343
2010,RI,1053337
2010,SC,4635943
2010,SD,816325
2010,TN,6356671
2010,TX,25244310
2010,UT,2775326
2010,VA,8025773
2010,VT,625982
2010,WA,6743226
2010,WI,5690263
2010,WV,1854230
2010,WY,564513
2011,AK,722713
2011,AL,4799918
2011,AR,2939493
2011,AZ,6467163
2011,CA,37676861
2011,CO,5118360
2011,CT,3589893
2011,DC,620477
2011,DE,907924
2011,FL,19096952
2011,GA,9811610
2011,HI,1377864
2011,IA,3065223
2011,ID,1584143
2011,IL,12860012
2011,IN,6516480
2011,KS,2869503
2011,KY,4369354
2011,LA,4575404
2011,MA,6611923
2011,MD,5843603
2011,ME,1328231
2011,MI,9876213
2011,MN,5348562
2011,MO,6010717
2011,MS,2978162
2011,MT,997821
2011,NC,9650963
2011,ND,685476
2011,NE,1842283
2011,NH,1318473
2011,NJ,8841243
2011,NM,2077756
2011,NV,2718379
2011,NY,19519529
2011,OH,11544824
2011,OK,3786274
2011,OR,3868031
2011,PA,12744293
2011,RI,1052451
2011,SC,4672637
2011,SD,824398
2011,TN,6397634
2011,TX,25646389
2011,UT,2816124
2011,VA,8110035
2011,VT,626730
2011,WA,6822520
2011,WI,5709640
2011,WV,1854972
2011,WY,567725
2012,AK,731089
2012,AL,4815960
2012,AR,2950685
2012,AZ,6549634
2012,CA,38011074
2012,CO,5189867
2012,CT,3593795
2012,DC,635327
2012,DE,916993
2012,FL,19344156
2012,GA,9914668
2012,HI,1391820
2012,IA,3076310
2012,ID,1595911
2012,IL,12870798
2012,IN,6537743
2012,KS,2885262
2012,KY,4384799
2012,LA,4603429
2012,MA,6658008
2012,MD,5889651
2012,ME,1328895
2012,MI,9887238
2012,MN,5380285
2012,MO,6025415
2012,MS,2984945
2012,MT,1005196
2012,NC,9746175
2012,ND,702087
2012,NE,1855725
2012,NH,1321182
2012,NJ,8873211
2012,NM,2083784
2012,NV,2752565
2012,NY,19602769
2012,OH,11550839
2012,OK,3817054
2012,OR,3899116
2012,PA,12771854
2012,RI,1052901
2012,SC,4720760
2012,SD,834441
2012,TN,6454306
2012,TX,26071655
2012,UT,2855782
2012,VA,8192048
2012,VT,626444
2012,WA,6895226
2012,WI,5726177
2012,WV,1856560
2012,WY,576765
2013,AK,736879
2013,AL,4829479
2013,AR,2958663
2013,AZ,6624617
2013,CA,38335203
2013,CO,5267603
2013,CT,3596003
2013,DC,649165
2013,DE,925395
2013,FL,19582022
2013,GA,9984938
2013,HI,1406481
2013,IA,3091930
2013,ID,1612011
2013,IL,12879505
2013,IN,6569102
2013,KS,2892821
2013,KY,4400477
2013,LA,4626402
2013,MA,6706786
2013,MD,5931129
2013,ME,1329076
2013,MI,9898982
2013,MN,5418521
2013,MO,6042711
2013,MS,2990482
2013,MT,1014314
2013,NC,9841590
2013,ND,724019
2013,NE,1868559
2013,NH,1322687
2013,NJ,8899162
2013,NM,2085193
2013,NV,2786464
2013,NY,19673546
2013,OH,11570022
2013,OK,3852415
2013,OR,3925751
2013,PA,12781338
2013,RI,1053033
2013,SC,4767894
2013,SD,844922
2013,TN,6494821
2013,TX,26473525
2013,UT,2902663
2013,VA,8262692
2013,VT,627140
2013,WA,6968006
2013,WI,5742854
2013,WV,1853231
2013,WY,582684
2014,AK,736705
2014,AL,4843214
2014,AR,2966912
2014,AZ,6719993
2014,CA,38680810
2014,CO,5349648
2014,CT,3591873
2014,DC,659005
2014,DE,934948
2014,FL,19888741
2014,GA,10087231
2014,HI,1416349
2014,IA,3108030
2014,ID,1633532
2014,IL,12867544
2014,IN,6595233
2014,KS,2899360
2014,KY,4413057
2014,LA,4647880
2014,MA,6749911
2014,MD,5967295
2014,ME,1330719
2014,MI,9915767
2014,MN,5453109
2014,MO,6060930
2014,MS,2992400
2014,MT,1022867
2014,NC,9934399
2014,ND,739904
2014,NE,1881145
2014,NH,1328743
2014,NJ,8925001
2014,NM,2083024
2014,NV,2833013
2014,NY,19718515
2014,OH,11594408
2014,OK,3877499
2014,OR,3968371
2014,PA,12790565
2014,RI,1054480
2014,SC,4828430
2014,SD,852561
2014,TN,6544663
2014,TX,26944751
2014,UT,2941836
2014,VA,8317372
2014,VT,626984
2014,WA,7054196
2014,WI,5758377
2014,WV,1848514
2014,WY,583642
2015,AK,737709
2015,AL,4853875
2015,AR,2977853
2015,AZ,6817565
2015,CA,38993940
2015,CO,5448819
2015,CT,3584730
2015,DC,670377
2015,DE,944076
2015,FL,20244914
2015,GA,10199398
2015,HI,1425157
2015,IA,3121997
2015,ID,1652828
2015,IL,12839047
2015,IN,6612768
2015,KS,2906721
2015,KY,4424611
2015,LA,4668960
2015,MA,6784240
2015,MD,5994983
2015,ME,1329453
2015,MI,9917715
2015,MN,5482435
2015,MO,6076204
2015,MS,2989390
2015,MT,1032073
2015,NC,10035186
2015,ND,756835
2015,NE,1893765
2015,NH,1330111
2015,NJ,8935421
2015,NM,2080328
2015,NV,2883758
2015,NY,19747183
2015,OH,11605090
2015,OK,3907414
2015,OR,4024634
2015,PA,12791904
2015,RI,1055607
2015,SC,4894834
2015,SD,857919
2015,TN,6595056
2015,TX,27429639
2015,UT,2990632
2015,VA,8367587
2015,VT,626088
2015,WA,7160290
2015,WI,5767891
2015,WV,1841053
2015,WY,586555
2016,AK,741894
2016,AL,4863300
2016,AR,2988248
2016,AZ,6931071
2016,CA,39250017
2016,CO,5540545
2016,CT,3576452
2016,DC,681170
2016,DE,952065
2016,FL,20612439
2016,GA,10310371
2016,HI,1428557
2016,IA,3134693
2016,ID,1683140
2016,IL,12801539
2016,IN,6633053
2016,KS,2907289
2016,KY,4436974
2016,LA,4681666
2016,MA,6811779
2016,MD,6016447
2016,ME,1331479
2016,MI,9928300
2016,MN,5519952
2016,MO,6093000
2016,MS,2988726
2016,MT,1042520
2016,NC,10146788
2016,ND,757952
2016,NE,1907116
2016,NH,1334795
2016,NJ,8944469
2016,NM,2081015
2016,NV,2940058
2016,NY,19745289
2016,OH,11614373
2016,OK,3923561
2016,OR,4093465
2016,PA,12784227
2016,RI,1056426
2016,SC,4961119
2016,SD,865454
2016,TN,6651194
2016,TX,27862596
2016,UT,3051217
2016,VA,8411808
2016,VT,624594
2016,WA,7288000
2016,WI,5778708
2016,WV,1831102
2016,WY,585501
